RODADA,MATAR WUMPUS,PEGAR OURO,NOVA POSIÇÃO,MOVIMENTOS TOTAIS,MORTES POÇO,MORTES WUMPUS,ATIRAR FLEXA,PONTUAÇÃO FINAL
1,1000,1000,12,32,3000,0,10,-1010
2,1000,1000,179,329,32000,0,10,-30140
3,1000,1000,596,833,193000,0,10,-191227
4,1000,1000,1071,1569,262000,0,10,-260488
5,1000,1000,50,84,9000,0,10,-7024
6,1000,1000,70,241,7000,0,10,-5161
7,0,1000,5,4,1000,0,0,1
8,1000,1000,65,120,11000,0,10,-9045
9,1000,1000,13,2000,0,0,10,10
10,0,1000,4,7,0,0,0,997
11,1000,1000,14,15,3000,0,10,-991
12,1000,1000,122,189,18000,0,10,-16057
13,1000,1000,8,17,0,0,10,2001
14,1000,1000,14,16,1000,0,10,1008
15,0,1000,4,5,0,0,0,999
16,1000,1000,33,45,4000,0,10,-2002
17,1000,1000,125,321,12000,1000,10,-11186
18,1000,1000,82,185,8000,0,10,-6093
19,1000,1000,180,271,45000,0,10,-43081
20,1000,1000,57,179,5000,0,10,-3112
